num_poste,datouvr,datferm,commune,nom_usuel,lieu_dit,lat_dms,lon_dms,latitude,longitude,lambx,lamby,lambx_100,lamby_100,latitude_calc,longitude_calc,alti,oaci,type_poste_actuel,
98736004,01-Mar-2015,31-Dec-2017,PIRAE,PIRAE 4,Le maraÃƒÂ®cher Bio,"17°33'49""S","149°32'5""W",-17.563500,-149.534667,8679,80547,8679.41,80547.22,-17.56361111,-149.53472222,370,null,4,
98736005,13-Sep-2016,null,PIRAE,NAHOATA,VallÃƒÂ©e de Nahoata,"17°32'33""S","149°31'19""W",-17.542500,-149.522000,8693,80570,8693.30,80570.24,-17.5425,-149.52194444,100,null,5,
98736006,01-Apr-1932,01-Apr-1949,PIRAE,HAMUTA,null,"17°31'24""S","149°32'21""W",-17.523333,-149.539167,8675,80592,8675.44,80591.81,-17.52333333,-149.53916667,4,null,4,
98736007,01-Apr-1992,null,PIRAE,FAUTAUA P4,null,"17°34'13""S","149°31'34""W",-17.570333,-149.526167,8688,80539,8688.30,80539.48,-17.57027778,-149.52611111,650,null,3,
98737001,01-Jan-1952,31-Dec-1987,PUKAPUKA,PUKAPUKA METEO,TAROKEA,"14°47'54""S","138°49'6""W",-14.798333,-138.818333,20399,83145,20399.18,83145.45,-14.79833333,-138.81833333,2,null,0,
98737002,01-Jun-2002,null,PUKAPUKA,PUKAPUKA,TEONEMAHINA VILLAGE,"14°48'48""S","138°50'48""W",-14.813333,-138.846667,20367,83130,20366.76,83130.42,-14.81333333,-138.84666667,2,null,4,
98738001,01-Mar-1948,31-Dec-1978,PUNAAUIA,PUNAAUIA 1,TAAPUNA,"17°36'30""S","149°36'42""W",-17.608333,-149.611667,8597,80499,8596.68,80499.03,-17.60833333,-149.61166667,4,null,4,
98738002,01-Jan-1976,30-Jun-1981,PUNAAUIA,PUNAAUIA 2,ANUE,"17°37'18""S","149°36'42""W",-17.621667,-149.611667,8596,80484,8596.42,80484.25,-17.62166667,-149.61166667,3,null,4,
98738003,01-Aug-1977,null,PUNAAUIA,PUNAAUIA 3,PUNAVAI MONTAGNE,"17°37'11""S","149°35'44""W",-17.619667,-149.595667,8613,80486,8613.46,80486.16,-17.61972222,-149.59555556,250,null,4,
98738004,01-Jan-1979,30-Sep-1994,PUNAAUIA,PUNAAUIA 4,TAAPUNA,"17°36'42""S","149°36'42""W",-17.611667,-149.611667,8597,80495,8596.62,80495.33,-17.61166667,-149.61166667,4,null,4,
98738006,01-May-1997,null,PUNAAUIA,PUNAAUIA 6,PUNARUU,"17°38'4""S","149°35'53""W",-17.634333,-149.598167,8611,80470,8610.51,80469.96,-17.63444444,-149.59805556,10,null,2,
